gene	tissue	ppn_female	ppn_male	ptr_female	ptr_male	ppn_delta	ptr_delta	species_diff
ADAM22	heart	31.0	47	53.0	56.0	16.0	3.0	6.0
ADAM22	kidney	198.0	181	199.0	505.0	17.0	306.0	1.0
ADAM22	liver	13.0	129	10.0	11.0	116.0	1.0	2.0
ADAMTSL2	heart	151.0	714	89.0	55.0	563.0	34.0	62.0
ADAMTSL2	liver	352.0	305	689.0	402.0	47.0	287.0	50.0
AGMO	liver	254.0	221	22.0	182.0	33.0	160.0	39.0
AGPAT5	kidney	187.0	199	317.0	687.0	12.0	370.0	118.0
AK8	kidney	30.0	20	127.0	134.0	10.0	7.0	97.0
AKAP5	cerebellum	181.0	141	64.0	102.0	40.0	38.0	39.0
AKAP5	liver	37.0	55	7.0	21.0	18.0	14.0	16.0
ANGPT2	cerebellum	102.0	45	39.0	17.0	57.0	22.0	6.0
ANGPT2	kidney	35.0	25	18.0	20.0	10.0	2.0	5.0
ANGPT2	liver	33.0	43	21.0	26.0	10.0	5.0	7.0
ANGPTL1	heart	98.0	176	51.0	78.0	78.0	27.0	20.0
ANGPTL1	liver	144.0	121	22.0	42.0	23.0	20.0	79.0
AP1S2	cerebellum	478.0	511	347.0	276.0	33.0	71.0	131.0
AP1S2	liver	193.0	114	71.0	25.0	79.0	46.0	43.0
AQP4	heart	13.0	5	24.0	158.0	8.0	134.0	11.0
ARMC9	cerebellum	254.0	270	227.0	145.0	16.0	82.0	27.0
ARMC9	heart	43.0	45	35.0	24.0	2.0	11.0	8.0
ARSB	heart	149.0	100	251.0	180.0	49.0	71.0	31.0
ARSB	kidney	445.0	584	2249.0	2629.0	139.0	380.0	1665.0
ASB9	heart	18.0	14	1.0	6.0	4.0	5.0	8.0
ASTN2	liver	41.0	72	19.0	37.0	31.0	18.0	4.0
ATF1	cerebellum	222.0	241	157.0	112.0	19.0	45.0	65.0
ATG16L1	cerebellum	1487.0	2151	1354.0	736.0	664.0	618.0	133.0
ATP6V1G3	kidney	231.0	265	653.0	466.0	34.0	187.0	201.0
AUH	kidney	123.0	105	158.0	338.0	18.0	180.0	35.0
AXDND1	liver	8.0	8	1.0	3.0	0.0	2.0	5.0
BASP1	cerebellum	3102.0	2160	1754.0	1972.0	942.0	218.0	188.0
BHMT	kidney	2778.0	3455	5767.0	15958.0	677.0	10191.0	2312.0
BHMT2	cerebellum	41.0	39	5.0	12.0	2.0	7.0	27.0
BHMT2	heart	366.0	152	50.0	82.0	214.0	32.0	70.0
BHMT2	kidney	1925.0	1317	2907.0	9406.0	608.0	6499.0	982.0
BIN2	kidney	173.0	145	186.0	183.0	28.0	3.0	10.0
BMX	liver	52.0	31	15.0	11.0	21.0	4.0	16.0
BTAF1	heart	491.0	430	859.0	603.0	61.0	256.0	112.0
BTAF1	kidney	773.0	514	1115.0	965.0	259.0	150.0	192.0
C1H1orf53	heart	15.0	5	18.0	31.0	10.0	13.0	3.0
C1H1orf53	liver	37.0	25	16.0	19.0	12.0	3.0	6.0
C21H21orf140	cerebellum	29.0	26	37.0	47.0	3.0	10.0	8.0
C21H21orf140	heart	4.0	3	19.0	20.0	1.0	1.0	15.0
C21H21orf140	kidney	12.0	2	27.0	38.0	10.0	11.0	15.0
C21H21orf140	liver	3.0	1	9.0	6.0	2.0	3.0	3.0
C2BH2orf72	liver	2243.0	3142	460.0	1832.0	899.0	1372.0	411.0
C2CD4D	liver	15.0	7	19.0	27.0	8.0	8.0	4.0
C9H9orf16	heart	118.0	192	66.0	50.0	74.0	16.0	52.0
CA5B	kidney	94.0	86	150.0	287.0	8.0	137.0	56.0
CAB39	heart	1822.0	589	2038.0	2416.0	1233.0	378.0	216.0
CAB39	kidney	1321.0	1076	1374.0	2756.0	245.0	1382.0	53.0
CACFD1	cerebellum	540.0	606	536.0	361.0	66.0	175.0	4.0
CACNG6	heart	14.0	4	41.0	28.0	10.0	13.0	14.0
CADM2	cerebellum	1972.0	2314	1441.0	1284.0	342.0	157.0	531.0
CADM2	heart	14.0	6	27.0	47.0	8.0	20.0	13.0
CBLB	cerebellum	864.0	903	641.0	527.0	39.0	114.0	223.0
CDC42EP5	heart	296.0	324	42.0	50.0	28.0	8.0	246.0
CDC42EP5	kidney	202.0	158	98.0	50.0	44.0	48.0	60.0
CDH11	liver	31.0	30	13.0	4.0	1.0	9.0	17.0
CEL	cerebellum	643.0	602	209.0	245.0	41.0	36.0	357.0
CELF3	cerebellum	4607.0	4593	2707.0	3722.0	14.0	1015.0	871.0
CERCAM	heart	187.0	301	47.0	68.0	114.0	21.0	119.0
CERCAM	kidney	313.0	209	59.0	138.0	104.0	79.0	71.0
CERCAM	liver	37.0	33	47.0	53.0	4.0	6.0	10.0
CHRNG	heart	1.0	1	2.0	2.0	0.0	0.0	1.0
CHST9	heart	3.0	9	172.0	242.0	6.0	70.0	163.0
CHST9	liver	42.0	35	115.0	52.0	7.0	63.0	10.0
CHURC1	heart	997.0	425	1123.0	1329.0	572.0	206.0	126.0
CHURC1	kidney	709.0	632	967.0	1470.0	77.0	503.0	258.0
CIZ1	kidney	1376.0	957	2208.0	1878.0	419.0	330.0	502.0
CIZ1	liver	365.0	263	1203.0	522.0	102.0	681.0	157.0
CLIC6	cerebellum	16.0	26	1.0	4.0	10.0	3.0	12.0
CLIC6	liver	8.0	11	1.0	5.0	3.0	4.0	3.0
CLTRN	kidney	927.0	1083	1592.0	2934.0	156.0	1342.0	509.0
CLTRN	liver	27.0	7	40.0	69.0	20.0	29.0	13.0
CMYA5	kidney	583.0	376	850.0	1066.0	207.0	216.0	267.0
CNOT3	cerebellum	1476.0	1720	1297.0	1291.0	244.0	6.0	179.0
CNOT3	heart	409.0	349	290.0	312.0	60.0	22.0	37.0
CNOT3	liver	412.0	237	612.0	668.0	175.0	56.0	200.0
COQ4	kidney	1060.0	790	1353.0	2417.0	270.0	1064.0	293.0
CPEB3	kidney	200.0	145	254.0	489.0	55.0	235.0	54.0
CPEB3	liver	201.0	338	130.0	182.0	137.0	52.0	19.0
CYTIP	cerebellum	10.0	15	7.0	7.0	5.0	0.0	3.0
CYTIP	liver	307.0	96	77.0	38.0	211.0	39.0	19.0
DACH1	heart	240.0	224	99.0	186.0	16.0	87.0	38.0
DAZAP2	kidney	3164.0	3021	5429.0	6962.0	143.0	1533.0	2265.0
DBF4	cerebellum	50.0	31	30.0	11.0	19.0	19.0	1.0
DBF4	kidney	15.0	19	39.0	39.0	4.0	0.0	20.0
DBH	heart	6.0	16	3.0	5.0	10.0	2.0	1.0
DBX2	cerebellum	7.0	8	11.0	9.0	1.0	2.0	1.0
DCBLD1	kidney	150.0	155	189.0	195.0	5.0	6.0	34.0
DDX31	cerebellum	306.0	312	265.0	178.0	6.0	87.0	41.0
DDX31	heart	42.0	24	45.0	56.0	18.0	11.0	3.0
DDX31	kidney	125.0	135	149.0	193.0	10.0	44.0	14.0
DENND4A	cerebellum	1049.0	1661	854.0	820.0	612.0	34.0	195.0
DENND4A	heart	215.0	177	400.0	332.0	38.0	68.0	117.0
DENND4A	kidney	319.0	267	385.0	709.0	52.0	324.0	66.0
DGKB	kidney	22.0	30	47.0	116.0	8.0	69.0	17.0
DGKD	heart	680.0	658	468.0	484.0	22.0	16.0	174.0
DGKD	kidney	749.0	735	644.0	692.0	14.0	48.0	43.0
DGKD	liver	463.0	505	426.0	197.0	42.0	229.0	37.0
