mean	median	max
234.4742268041237	49.0	6642.0
194.42424242424244	50.0	2782.0
86.92857142857143	35.5	1203.0
185.56976744186048	79.5	3198.0
193.4271844660194	91.0	3030.0
133.91964285714286	45.0	1660.0
192.85858585858585	38.0	3198.0
110.42105263157895	32.5	867.0
152.64772727272728	40.5	3198.0
112.75581395348837	41.5	682.0
169.11827956989248	67.0	3030.0
172.2843137254902	38.0	1710.0
133.18556701030928	53.0	1407.0
450.9111111111111	48.5	25227.0
127.27272727272727	44.5	1407.0
130.8988764044944	40.0	1153.0
373.9117647058824	38.0	25227.0
131.0	30.0	1351.0
194.45631067961165	34.0	5794.0
140.87387387387386	29.0	1375.0
154.85294117647058	38.0	1521.0
140.09166666666667	46.0	1660.0
180.56565656565655	41.0	3141.0
130.42156862745097	37.0	3198.0
152.825	39.0	3653.0
189.2840909090909	45.5	3141.0
179.69148936170214	58.0	2530.0
147.6846846846847	60.0	1851.0
149.22935779816513	48.0	1861.0
144.55555555555554	40.0	1927.0
201.95049504950495	28.0	7623.0
167.50442477876106	36.0	2386.0
157.84782608695653	65.0	1660.0
382.1	26.0	25227.0
92.67088607594937	27.0	793.0
160.70873786407768	52.0	2552.0
154.5934065934066	39.0	3198.0
151.03846153846155	48.0	1312.0
141.64814814814815	41.5	1521.0
180.8732394366197	38.0	2782.0
107.47474747474747	42.0	1679.0
154.38834951456312	36.0	1927.0
104.15841584158416	37.0	689.0
428.74528301886795	34.0	34805.0
136.18478260869566	44.5	1710.0
154.94897959183675	66.0	1309.0
146.20353982300884	57.0	1851.0
132.30275229357798	59.0	1660.0
166.86238532110093	59.0	2530.0
168.0253164556962	44.0	1861.0
104.44444444444444	37.0	664.0
152.39805825242718	42.0	1666.0
160.52830188679246	52.5	1309.0
138.72972972972974	29.0	1903.0
185.56521739130434	42.0	3653.0
201.22429906542055	65.0	3198.0
739.9791666666666	27.0	34805.0
126.39583333333333	32.0	1710.0
126.3225806451613	38.0	1851.0
173.82828282828282	45.0	3653.0
126.51578947368421	36.0	1658.0
132.7450980392157	32.5	1710.0
118.48484848484848	42.0	3653.0
181.17977528089887	39.0	3653.0
115.65517241379311	24.0	1861.0
196.53773584905662	49.0	2552.0
138.97115384615384	28.0	1666.0
261.17241379310343	57.0	11250.0
225.69607843137254	41.0	5794.0
140.49056603773585	44.5	1679.0
94.27586206896552	17.0	894.0
142.62608695652173	46.0	2552.0
149.5952380952381	46.0	1747.0
212.6590909090909	41.5	3653.0
734.3529411764706	47.5	34805.0
352.07142857142856	37.5	25227.0
125.39393939393939	43.0	1153.0
262.47	43.5	7623.0
164.89583333333334	40.0	2530.0
156.97196261682242	65.0	1666.0
128.8846153846154	25.0	6642.0
118.34020618556701	28.0	1710.0
130.4731182795699	36.0	2465.0
225.07777777777778	55.5	2036.0
217.4591836734694	38.0	3653.0
89.52173913043478	34.5	777.0
179.2	61.5	1660.0
125.52083333333333	41.5	1116.0
156.5	27.5	2386.0
132.69	33.5	1666.0
232.17894736842106	42.0	7623.0
155.32608695652175	50.0	1903.0
122.90322580645162	36.0	1282.0
143.088	38.0	2552.0
102.47524752475248	36.0	1097.0
389.47747747747746	61.0	25227.0
160.84745762711864	55.0	1351.0
134.51136363636363	16.0	5794.0
161.4952380952381	34.0	2552.0
229.96938775510205	47.0	6642.0
115.27722772277228	47.0	1407.0
127.89156626506023	41.0	1927.0
170.0	55.0	1748.0
89.15384615384616	33.5	797.0
163.93684210526317	39.0	1927.0
111.26415094339623	40.5	1521.0
402.89473684210526	36.0	25227.0
114.95918367346938	28.5	1312.0
476.86315789473684	38.0	25227.0
132.73684210526315	36.0	1861.0
155.98	66.5	2386.0
195.52941176470588	76.0	1861.0
154.25555555555556	53.0	1521.0
124.4421052631579	37.0	2465.0
135.97802197802199	27.0	3030.0
120.22916666666667	30.0	1851.0
142.77777777777777	40.0	1282.0
482.36607142857144	42.5	34805.0
179.9578947368421	50.0	2552.0
131.2888888888889	44.0	938.0
134.9126213592233	46.0	1660.0
155.4950495049505	46.0	1312.0
148.49019607843138	44.0	2552.0
445.4117647058824	38.0	25227.0
131.88888888888889	32.5	1748.0
443.6330275229358	54.0	34805.0
168.58585858585857	36.0	3653.0
147.73563218390805	53.0	1903.0
158.0	59.5	1312.0
150.18367346938774	30.0	2530.0
136.86238532110093	43.0	3030.0
142.0888888888889	57.5	1658.0
156.3861386138614	44.0	1748.0
188.6764705882353	44.0	2552.0
160.5728155339806	53.0	3653.0
124.76136363636364	41.0	1710.0
338.6465517241379	74.5	11250.0
132.64077669902912	28.0	1861.0
200.72941176470587	65.0	2552.0
156.66355140186917	70.0	1521.0
162.7159090909091	100.0	1076.0
124.29787234042553	36.0	1861.0
240.91304347826087	43.0	11250.0
304.0	52.0	11250.0
117.46728971962617	26.0	1903.0
159.6448598130841	47.0	1658.0
167.77173913043478	30.0	2552.0
155.0	42.0	5794.0
153.0561797752809	54.0	2036.0
406.03061224489795	44.5	25227.0
363.0093457943925	37.0	25227.0
136.6125	29.0	2036.0
157.74489795918367	39.0	1903.0
136.08139534883722	29.5	1710.0
165.20535714285714	39.5	1658.0
124.2127659574468	45.0	682.0
116.17582417582418	39.0	1010.0
183.24242424242425	47.0	1927.0
162.31730769230768	36.0	3653.0
150.8842105263158	36.0	1521.0
95.51063829787235	37.5	1136.0
160.27777777777777	67.0	1351.0
446.50925925925924	32.0	34805.0
186.40816326530611	41.0	1851.0
205.0531914893617	36.0	7623.0
132.8118811881188	48.0	807.0
130.70642201834863	43.0	1861.0
155.97391304347826	42.0	3030.0
115.42696629213484	26.0	1660.0
160.69892473118279	46.0	1660.0
152.45454545454547	40.0	1710.0
161.2826086956522	32.0	1851.0
461.79047619047617	64.0	34805.0
166.71698113207546	42.5	3030.0
186.85393258426967	54.0	3198.0
133.09708737864077	45.0	1965.0
111.44144144144144	31.0	3198.0
151.6153846153846	37.0	1215.0
132.65625	45.5	2782.0
138.3294117647059	39.0	1861.0
125.91379310344827	42.0	1861.0
366.2072072072072	26.0	25227.0
153.80722891566265	26.0	3653.0
115.22772277227723	30.0	1861.0
199.60227272727272	69.0	1851.0
219.6904761904762	43.0	5794.0
149.1098901098901	37.0	2552.0
165.367816091954	53.0	1193.0
169.05769230769232	48.0	2552.0
104.89887640449439	25.0	1107.0
689.1125	41.0	34805.0
118.3170731707317	36.5	1023.0
148.75238095238095	44.0	1407.0
160.35555555555555	45.0	1666.0
125.65979381443299	36.0	1521.0
103.83529411764705	27.0	1282.0
120.66355140186916	40.0	1026.0
177.990099009901	40.0	3653.0
191.62264150943398	60.0	3653.0
135.55208333333334	31.0	1861.0
84.59375	31.5	1282.0
227.76923076923077	53.5	5794.0
105.13186813186813	48.0	1521.0
143.17355371900825	40.0	1432.0
132.61176470588236	30.0	2465.0
97.84946236559139	51.0	1153.0
291.57142857142856	65.0	11250.0
126.7125	30.0	1861.0
119.08510638297872	36.0	1154.0
491.3333333333333	48.0	34805.0
151.991452991453	46.0	1660.0
135.8041237113402	44.0	1193.0
486.3761467889908	50.0	25227.0
185.95	41.5	1903.0
86.17391304347827	29.0	812.0
111.04819277108433	37.0	1026.0
142.2840909090909	46.0	1660.0
137.95238095238096	36.0	1861.0
98.07368421052631	27.0	1679.0
128.22727272727272	34.5	1283.0
138.48958333333334	44.5	1660.0
108.94623655913979	25.0	1158.0
179.7127659574468	65.0	1660.0
115.0	33.5	1965.0
109.05050505050505	27.0	1903.0
136.44954128440367	42.0	1666.0
105.01010101010101	32.0	1432.0
117.29885057471265	42.0	1927.0
158.40816326530611	47.0	1965.0
121.9090909090909	29.0	1861.0
125.95652173913044	38.0	1965.0
185.25974025974025	54.0	3653.0
129.10309278350516	27.0	1861.0
222.1340206185567	44.0	5794.0
177.1140350877193	63.5	3030.0
139.3804347826087	44.5	1312.0
145.08823529411765	39.0	1861.0
438.7809523809524	24.0	25227.0
141.3186813186813	44.0	2036.0
217.79775280898878	40.0	5794.0
180.954128440367	53.0	1965.0
134.375	34.5	1407.0
121.4375	36.5	1351.0
122.13131313131314	47.0	1903.0
237.34615384615384	68.5	5794.0
132.73529411764707	47.5	1861.0
164.86170212765958	41.0	3653.0
463.375	50.5	25227.0
105.57758620689656	28.5	1861.0
427.7916666666667	42.0	25227.0
139.82758620689654	44.5	1658.0
107.14285714285714	32.0	1199.0
136.79611650485438	38.0	1660.0
131.25	43.5	1561.0
217.84615384615384	39.0	3198.0
125.32456140350877	43.0	1903.0
175.94594594594594	57.0	1861.0
131.2421052631579	54.0	1177.0
160.7659574468085	45.0	1660.0
188.29032258064515	58.0	1861.0
141.07619047619048	25.0	1521.0
145.3125	50.5	1407.0
134.1122448979592	36.5	1903.0
164.36111111111111	47.0	1660.0
130.7864077669903	41.0	1136.0
123.20879120879121	42.0	1660.0
170.5157894736842	50.0	1861.0
104.5607476635514	35.0	1312.0
151.4368932038835	42.0	1660.0
214.70833333333334	68.0	2530.0
149.9099099099099	50.0	1153.0
135.29896907216494	40.0	1521.0
157.01149425287358	50.0	1710.0
158.02105263157895	57.0	1521.0
165.98019801980197	36.0	1710.0
132.65	46.0	1432.0
186.0	33.0	3653.0
159.0	36.0	3030.0
128.90654205607476	40.0	1861.0
150.7340425531915	33.5	2552.0
235.82474226804123	76.0	3653.0
165.46067415730337	48.0	1375.0
118.60204081632654	32.0	1121.0
120.80412371134021	42.0	1658.0
152.15	52.5	1521.0
146.4387755102041	50.0	1246.0
156.54455445544554	49.0	3653.0
141.3265306122449	44.0	999.0
153.1509433962264	38.5	3198.0
148.13636363636363	57.0	1666.0
114.73118279569893	40.0	1660.0
131.53333333333333	28.0	2552.0
536.125	36.5	34805.0
143.35714285714286	27.5	2552.0
168.35416666666666	75.5	1748.0
154.9327731092437	47.0	2036.0
142.41228070175438	42.0	1861.0
149.94791666666666	23.0	3653.0
139.44761904761904	47.0	1903.0
171.13274336283186	47.0	1861.0
119.44791666666667	38.0	1199.0
231.44210526315788	63.0	1903.0
178.18627450980392	50.5	3198.0
115.58426966292134	39.0	1309.0
409.79831932773106	31.0	34805.0
163.78301886792454	50.5	2552.0
159.70238095238096	33.5	2782.0
132.57272727272726	37.5	1861.0
172.83333333333334	41.5	1351.0
93.50515463917526	31.0	1026.0
192.47916666666666	33.5	6642.0
568.61	65.5	34805.0
