mean	median	max
155.24338624338625	66.0	3238.0
159.74157303370785	73.0	1970.0
161.41847826086956	43.5	3799.0
194.24561403508773	62.0	3322.0
150.0391061452514	86.0	1149.0
207.53614457831324	68.0	3799.0
203.53488372093022	81.0	3799.0
168.11891891891892	66.0	3238.0
188.21052631578948	78.0	3120.0
204.8658536585366	62.5	3591.0
155.1581920903955	60.0	2348.0
181.20967741935485	54.0	3334.0
166.18716577540107	71.0	1569.0
205.5688622754491	64.0	2215.0
171.04761904761904	54.0	2304.0
203.33862433862433	65.0	5623.0
151.27167630057804	52.0	3334.0
149.96341463414635	39.5	3591.0
141.93478260869566	56.5	2304.0
186.83977900552486	68.0	3799.0
135.54395604395606	45.0	1434.0
175.72432432432433	82.0	3212.0
111.33734939759036	41.0	873.0
147.00581395348837	52.5	1698.0
144.34871794871796	55.0	1637.0
155.53892215568862	61.0	2495.0
189.1552795031056	71.0	3591.0
156.58585858585857	69.0	2304.0
136.71241830065358	59.0	1489.0
119.52147239263803	55.0	1677.0
155.6	48.5	1664.0
109.28491620111731	45.0	1428.0
153.82738095238096	62.0	2348.0
170.9879518072289	63.0	2304.0
189.98958333333334	57.5	5131.0
186.59411764705882	54.5	3212.0
207.26190476190476	43.5	12173.0
175.43529411764706	63.5	3212.0
209.5664739884393	67.0	5131.0
195.68711656441718	80.0	1637.0
159.76646706586826	51.0	1930.0
131.49411764705883	50.0	2304.0
151.0653594771242	50.0	3047.0
337.9462365591398	50.5	39504.0
141.53591160220995	56.0	2495.0
207.38860103626942	72.0	4615.0
153.8950276243094	61.0	3212.0
165.81564245810057	67.0	2034.0
160.66046511627906	54.0	2304.0
168.42105263157896	69.0	1787.0
177.57471264367817	54.5	3754.0
186.4904458598726	56.0	2215.0
218.25842696629215	44.0	11506.0
170.92972972972973	49.0	4906.0
168.49425287356323	54.0	2156.0
133.71428571428572	59.0	2072.0
373.5491329479769	52.0	39504.0
112.18285714285715	43.0	2215.0
168.3735632183908	58.5	2348.0
141.64361702127658	55.5	1282.0
211.76973684210526	43.5	11506.0
151.91017964071855	48.0	2348.0
189.4203821656051	59.0	2156.0
182.34078212290504	64.0	3212.0
167.52205882352942	46.0	2542.0
186.4126984126984	75.0	3212.0
238.66666666666666	50.0	11506.0
113.0	56.0	1126.0
134.4	50.0	2085.0
124.7810650887574	61.0	820.0
142.23280423280423	40.0	2348.0
159.32386363636363	65.5	3799.0
134.37423312883436	56.0	2348.0
137.56497175141243	52.0	1471.0
368.00515463917526	48.0	39504.0
163.55555555555554	55.5	2715.0
155.28333333333333	66.5	2542.0
182.33552631578948	58.5	2072.0
215.11801242236024	63.0	12173.0
175.84422110552765	63.0	1787.0
128.21022727272728	48.5	2304.0
142.15555555555557	45.0	2304.0
191.09547738693468	59.0	3799.0
221.35978835978835	77.0	11506.0
158.38285714285715	59.0	1177.0
152.2980132450331	60.0	1637.0
189.62376237623764	68.0	3238.0
146.92307692307693	35.5	2085.0
161.29378531073445	57.0	3322.0
167.9120879120879	60.5	3754.0
193.52439024390245	75.0	3212.0
205.25414364640883	60.0	4906.0
