Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR306811	17.608834442435978	54.0	76.0	18.181818181818183	20083064.0
SRR306817	28.631219428485537	52.0	76.0	18.181818181818183	32043112.0
SRR306818	22.43705538280949	53.0	76.0	27.27272727272727	19384434.0
SRR306819	51.27170376662546	50.0	76.0	27.27272727272727	31468011.0
SRR306820	39.19749855138046	49.0	76.0	27.27272727272727	43064259.0
SRR306821	39.29250784435372	52.0	76.0	27.27272727272727	25454775.0
SRR306822	39.07228119614954	50.0	76.0	18.181818181818183	34169060.0
SRR306823	17.830833841640043	52.0	76.0	27.27272727272727	29737439.0
SRR306824	12.708163745950301	55.0	76.0	27.27272727272727	17876248.0
SRR306825	20.77975472557634	51.0	76.0	27.27272727272727	26745671.0
SRR306827	32.4536117673923	51.0	76.0	36.36363636363637	24777783.0
SRR306828	33.24823749218449	48.0	76.0	18.181818181818183	38196822.0
SRR306829	31.41991623769357	49.0	76.0	18.181818181818183	30345120.0
SRR306830	21.91625355521529	51.0	76.0	27.27272727272727	34467310.0
SRR306831	43.142734506612726	51.0	76.0	27.27272727272727	29650645.0
SRR306832	57.64626325858108	50.0	76.0	27.27272727272727	26025889.0
SRR306833	39.249492526402086	51.0	76.0	18.181818181818183	30139364.0
SRR306834	45.0002173363165	50.0	76.0	27.27272727272727	25901079.0
SRR306835	49.49983064082133	50.0	76.0	27.27272727272727	28491592.0
SRR306836	45.0394288557336	49.0	76.0	27.27272727272727	20161205.0
SRR306837	26.490257017665883	56.0	76.0	18.181818181818183	16151902.0
