Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed_SRR306811	14.524839828301424	53.0	57.649971753024495	9.090909090909092	20064095.0
trimmed_SRR306817	27.709033907228502	52.0	57.9470822823413	9.090909090909092	32038381.0
trimmed_SRR306818	21.32650557035916	53.0	57.93831043285365	18.181818181818183	19375140.0
trimmed_SRR306819	49.59140973796262	50.0	57.96805166375268	9.090909090909092	31460355.0
trimmed_SRR306820	36.48278526182188	49.0	57.8633586523401	18.181818181818183	43056323.0
trimmed_SRR306821	34.427770895934486	52.0	57.94959137300972	18.181818181818183	25446557.0
trimmed_SRR306822	38.045070418680325	50.0	57.97308178051167	9.090909090909092	34165707.0
trimmed_SRR306823	17.286633677979395	52.0	57.949501365389345	18.181818181818183	29728883.0
trimmed_SRR306824	10.718446213036586	54.0	57.91608411429913	9.090909090909092	17851614.0
trimmed_SRR306825	18.873043146075844	50.0	57.96708933350325	9.090909090909092	26742576.0
trimmed_SRR306827	28.280665742093333	50.0	57.95308980329726	18.181818181818183	24768389.0
trimmed_SRR306828	32.26839293649738	48.0	57.987633194859406	9.090909090909092	38195637.0
trimmed_SRR306829	30.144107544123386	49.0	57.972376729499665	9.090909090909092	30334062.0
trimmed_SRR306830	20.60317590460835	51.0	57.9481239477044	18.181818181818183	34451465.0
trimmed_SRR306831	40.866633642295035	51.0	57.87016219739693	18.181818181818183	29617553.0
trimmed_SRR306832	55.98507669884816	49.0	57.96809600505445	18.181818181818183	26014297.0
trimmed_SRR306833	37.99110953081265	51.0	57.965093176772015	9.090909090909092	30130900.0
trimmed_SRR306834	42.35047995365907	50.0	57.902016133523425	9.090909090909092	25857216.0
trimmed_SRR306835	47.596998836481184	50.0	57.983470671075324	18.181818181818183	28483673.0
trimmed_SRR306836	41.60781382750366	48.0	57.42799787097112	18.181818181818183	19979062.0
trimmed_SRR306837	23.294258003185007	55.0	57.8205173101815	9.090909090909092	16128196.0
