id	lineage	n_variants	n_failed
Akwaya-Jean	pte	4677391	224426
Alfred	ptt	6664672	39616
Alice	ptv	2406376	67032
Andromeda	pts	5621243	259547
Annie	ptv	1467484	438964
Athanga	pts	6116264	92814
Banyo	pte	1632130	1830144
Basho	pte	3209360	939555
Berta	ptv	2258109	67818
Bihati	pts	5472292	315772
Blanquita	ptt	6673107	29667
Bono	ppn	9103728	163850
Bosco	ptv	2230630	138431
Brigitta	ptt	6625999	37337
Bwamble	pts	6233641	30194
Catherine	ppn	7785806	1256045
Chipita	ppn	7609160	1379198
Cindy_schwein	pts	5986763	2458
Cindy_troglodytes	ptt	6696404	32085
Cindy_verus	ptv	2555963	13169
Clara	ptt	4791294	762850
Cleo	pts	6418969	539
Clint	ptv	1693759	1243
Coco_chimp	pts	6275106	39671
Damian	pte	4643871	247856
Desmond	ppn	9086454	200880
Doris	ptt	6471663	150025
Dzeeta	ppn	9070973	177608
Frederike	pts	6331886	30336
Gamin	ptt	6370641	106343
Harriet	pts	3501750	1333747
Hermien	ppn	9034115	178066
Hortense	ppn	9068842	154976
Ikuru	pts	6265453	2345
Jimmie	ptv	2465049	30204
Julie_A959	ptt	5368868	550193
Julie_LWC21	pte	5071363	188895
Kidongo	pts	6252480	12054
Koby	ptv	2166246	171815
Kombote	ppn	9119121	168962
Kopongo	pte	2483704	1276489
Kosana	ppn	8968532	258809
Koto	pte	4807821	174982
Kumbuka	ppn	9296022	84753
Lara	ptt	6685829	11891
LB502	ppn	3356643	4893556
Linda	ptv	2567755	953
Luky	ptt	6463057	111416
Marlin	ptt	6609655	43308
Maya	pts	6326329	10117
Mgbadolite	pts	5922509	141882
Mike	ptv	1120462	644056
Mirinda	ptt	6754753	11081
Nakuu	pts	6167447	31933
Natalie	ppn	9040487	112729
Negrita	ptt	6661631	35901
Noemie	ptt	2606153	1883683
Padda	pts	2853364	1846634
Paquita	pte	3041219	988829
Salonga	ppn	8382516	849436
SeppToni	ptv	2571253	2613
Taweh	pte	4907579	129866
Tibe	ptt	6353083	155659
Tobi	pte	3385863	934674
Tongo	pts	5952083	193039
Trixie	pts	6419780	5333
Ula	ptt	6428929	116129
Vaillant	ptt	6564051	104629
Vincent	pts	5628443	283364
Washu	pts	6309861	7154
Yogui	ptt	6407427	158176
