SDI_ind	lineage	N	min	mean	max
Akwaya-Jean	pte	16	0.011237478097	0.049478187168687474	0.204379598635
Alfred	ptt	21	0.0045392186889999	0.05570642695123805	0.201246757493
Alice	ptv	9	0.0084686312899999	0.11871171910344441	0.502525409455
Andromeda	pts	12	0.0132571490789999	0.050904882686249965	0.107626646353
Athanga	pts	13	0.006030997641	0.1260021158171538	0.463006401231
Berta	ptv	6	0.0077745686979999	0.3224882295066666	0.873604563894
Bihati	pts	8	0.0141891889909999	0.05127096835562493	0.1171416363639999
Blanquita	ptt	16	0.007524675044	0.04280909426687495	0.157868400438
Bono	ppn	18	0.002464915141	0.060979477394333306	0.370233569653
Bosco	ptv	6	0.0182354063459999	0.05403231377699994	0.135195371766
Brigitta	ptt	12	0.010550156124	0.03385136085566664	0.0948503420649999
Bwamble	pts	10	0.0093263434439999	0.14510935929549995	0.5592993172430001
Cindy-schwein	pts	8	0.009247417817	0.02092550605499994	0.0330739826929999
Cindy-troglodytes	ptt	22	0.009328402283	0.07221450250159087	0.2637503753519999
Cindy-verus	ptv	8	0.0063446208249999	0.015555844510999964	0.029352046851
Cleo	pts	11	0.005624289231	0.036622127653181784	0.104407518533
Clint	ptv	7	0.010222888117	0.05856706428142853	0.14480687635
Coco-chimp	pts	7	0.0067740118439999	0.08999548516957134	0.4514239422439999
Damian	pte	16	0.0097686626759999	0.06790341366381247	0.55332699972
Desmond	ppn	30	0.0050453890589999	0.06713866838643329	0.457290534314
Doris	ptt	32	0.0045203098639999	0.06396756066837495	0.267212845627
Dzeeta	ppn	14	0.008757059979	0.040393173984214256	0.109712754035
Frederike	pts	9	0.018660169084	0.10917281617344442	0.365716020012
Gamin	ptt	18	0.004353723557	0.03973061393911107	0.199385142101
Hermien	ppn	12	0.0037160136299999	0.06817671750658329	0.309685201744
Hortense	ppn	23	0.00690193532	0.08942469622817387	0.3224556529519999
Ikuru	pts	9	0.007329129838	0.0627114406464444	0.170922518627
Jimmie	ptv	10	0.005777513904	0.11985485314309999	0.398168502594
Julie-A959	ptt	17	0.0061675157139999	0.08606324297317641	0.649389138756
Julie-LWC21	pte	15	0.0099508572199999	0.039982457085666605	0.13346312483
Kidongo	pts	18	0.010159012533	0.05448721889583328	0.14247771982
Koby	ptv	12	0.007272917741	0.04147638879416663	0.1222559915959999
Kombote	ppn	20	0.002937971297	0.04502595803324995	0.319575878504
Kosana	ppn	12	0.00440833467	0.04047021531974995	0.2174130707989999
Koto	pte	21	0.006487189562	0.062232430545095196	0.362453832993
Kumbuka	ppn	13	0.0054961390009999	0.07602732054415379	0.3403259678579999
Lara	ptt	19	0.008247300529	0.04205207464757891	0.3638390241479999
Linda	ptv	3	0.024925544864	0.10673019279200001	0.267087766929
Luky	ptt	34	0.004282060825	0.12156580678605877	0.615931045244
Marlin	ptt	29	0.0032430654699999	0.05420209715406893	0.2692566667989999
Maya	pts	8	0.0045860695049999	0.02698961215249994	0.0747414570129999
Mgbadolite	pts	1	0.019837344714	0.019837344714	0.019837344714
Mirinda	ptt	16	0.004733992397	0.07017075645199995	0.260404658391
Nakuu	pts	7	0.014232814343	0.038939710610285685	0.1123683719479999
Natalie	ppn	18	0.005245637251	0.06426705128044441	0.2101737132859999
Negrita	ptt	18	0.0023427861289999	0.05643728335999995	0.300279465907
SeppToni	ptv	11	0.0190221523389999	0.0997329448164545	0.370162530141
Taweh	pte	11	0.0053688191359999	0.06541025633136359	0.158186204202
Tibe	ptt	20	0.0047344520809999	0.06124474912159995	0.280825542376
Tongo	pts	13	0.0091595448929999	0.05026411346423073	0.128383036656
Trixie	pts	11	0.012502258895	0.05779032890354543	0.119890089737
Ula	ptt	17	0.0064812983409999	0.053335058362176405	0.319838734564
Vaillant	ptt	16	0.008417970957	0.06229540401137496	0.1762316540389999
Vincent	pts	6	0.0054640159319999	0.0464066930913333	0.116767929265
Washu	pts	12	0.0092130319919999	0.12251630744666663	0.394041138579
Yogui	ptt	19	0.0030174135289999	0.062979734691421	0.2247253106829999
