window	minimum	mean	maximum	variance
chr10_3670016	0.0087489643	0.02960772918790302	0.096247971085	0.0002549324785090502
chr10_4194304	0.001334194291	0.0037686239677800926	0.0123650702449999	3.5525717448215653e-06
chr10_23592960	0.0032720073659999	0.01980230186694558	0.055726101936	9.082292931219475e-05
chr10_28311552	0.000316543312	0.0013058296374916757	0.004317255802	4.994336924045463e-07
chr10_30932992	0.003738563871	0.011763926483579148	0.0243010772349999	1.3983960915302016e-05
chr10_35651584	0.0080754911029999	0.024794264944087423	0.0589985815529999	5.944663364366053e-05
chr10_58720256	0.000128619765	0.0003937671804514847	0.001082595528	2.9189294745698814e-08
chr10_72876032	0.002121977499	0.006170986350836827	0.018685165508	9.867785443663414e-06
chr10_78118912	0.0037363627499999	0.013060808380730447	0.0326482736559999	2.9456910032354588e-05
chr10_78643200	0.0117019180759999	0.031134154492278913	0.052344914523	4.292183824491884e-05
chr10_79167488	0.0014172562059999	0.00929948762398813	0.015807110126	1.0650828521662564e-05
chr10_79691776	0.004175231061	0.012889123747423122	0.027880650334	2.2143139198414962e-05
chr10_87031808	0.008620916793	0.01251664214527182	0.0173162782369999	3.2039243634218875e-06
chr10_87556096	0.0267670851919999	0.03300532531163825	0.0407171596609999	5.08179687449043e-06
chr10_90701824	0.00056997018	0.0019258283124680329	0.004550553102	5.765723377102246e-07
chr10_97517568	0.000399509925	0.0008823518181157914	0.001791711283	5.112967774448093e-08
chr10_104333312	0.00812977763	0.04007861224583447	0.1043099412079999	0.0003490699395451738
chr10_117440512	0.004944450736	0.012557128148754084	0.0389555422849999	2.513535783802461e-05
chr10_117964800	0.007353007785	0.015901505519051957	0.044651476464	2.3986003035658947e-05
chr10_118489088	0.001335800344	0.004140477594033047	0.009204692874	2.069197500042383e-06
chr11_22544384	0.0144345523629999	0.024657720762189077	0.0501797977219999	3.656862517293545e-05
chr11_45613056	0.001081490467	0.002416016562453851	0.0049733059719999	5.017104231869292e-07
chr11_46137344	0.0003808629139999	0.0008526869942481766	0.002073298983	6.822849667191822e-08
chr11_49807360	0.005267164333	0.013463474620030681	0.0323642414129999	2.902864289773415e-05
chr11_50331648	0.0023981648969999	0.00497683453383683	0.011979342363	2.3894851646727755e-06
chr11_50855936	0.002086684069	0.006231360538137066	0.018324294031	8.429191673377543e-06
chr11_71303168	0.0016231997219999	0.0059124324705886015	0.0185405900409999	6.262387928329431e-06
chr11_73924608	0.0044837964049999	0.006688763872252904	0.0141466673989999	2.816788243139231e-06
