window	minimum	mean	maximum	variance	gene_count
chr10_78643200	0.0117019180759999	0.0311341544922789	0.052344914523	4.292183824491884e-05	1
chr10_87556096	0.0267670851919999	0.0330053253116382	0.0407171596609999	5.08179687449043e-06	8
chr11_22544384	0.0144345523629999	0.024657720762189	0.0501797977219999	3.656862517293545e-05	3
chr11_77070336	0.0239937516439999	0.0377683972124113	0.057038709028	2.906180073613006e-05	0
chr11_77594624	0.0503566750239999	0.076725479812747	0.1220285812429999	0.000142213911705	2
chr12_37748736	0.029095918927	0.0447597082335744	0.0628778236779999	4.764905586588883e-05	17
chr12_44040192	0.0541702615779999	0.1044016310392363	0.154493234202	0.0005549796497883	3
chr13_3145728	0.0282949577179999	0.0473924312069266	0.084500909499	7.591852663974035e-05	0
chr13_44564480	0.0105380518609999	0.0160488350035436	0.024328879483	7.96762259160071e-06	2
chr13_45088768	0.041127831618	0.0579070646814538	0.082522313512	6.113182527692093e-05	0
chr13_45613056	0.304854885664	0.3555373359244916	0.423670119523	0.0006865826126706	0
chr13_47185920	0.0481463954009999	0.0700747683170661	0.106705788438	0.0001409186206657	1
chr13_52428800	0.015016544811	0.104678726478189	0.2481034504879999	0.0019056739618909	2
chr13_70778880	0.1224617748999999	0.3138092102383238	0.508270866026	0.0069277951190728	0
chr14_32505856	0.0113716425619999	0.020868222141981	0.036500106313	2.2303365767240185e-05	10
chr14_45088768	0.020094754829	0.0267943587498344	0.0376951978809999	9.901070051340853e-06	14
chr14_45613056	0.0196862347659999	0.0267004130307304	0.0345644182419999	7.624616269758747e-06	8
chr14_75497472	0.020009938086	0.0305252189688297	0.043975063554	2.3404277320727195e-05	13
chr15_9437184	0.0181288584469999	0.0233086446660566	0.034910446955	8.323849561446318e-06	4
chr15_44040192	0.067939183948	0.113539473420085	0.1495786181449999	0.0002863569298825	12
chr15_69730304	0.010991530273	0.0180520682146666	0.029037388129	1.2293723534349873e-05	2
chr16_49283072	0.023285071495	0.0812108515415035	0.328363810497	0.0031216633733375	1
chr18_19922944	0.010408731674	0.0199494992488817	0.0304326776559999	1.3411790630563666e-05	7
