1 chr1:1-224244399	chr1
2 chr2A:1-108022953	chr2A
3 chr2B:1-128755405	chr2B
4 chr3:1-196562556	chr3
5 chr4:1-189151597	chr4
6 chr5:1-159319378	chr5
7 chr6:1-168369391	chr6
8 chr7:1-156046543	chr7
9 chr8:1-143338810	chr8
10 chr9:1-110513671	chr9
11 chr10:1-129809613	chr10
12 chr11:1-130782606	chr11
13 chr12:1-130995916	chr12
14 chr13:1-95599650	chr13
15 chr14:1-87716528	chr14
16 chr15:1-80519282	chr15
17 chr16:1-75912362	chr16
18 chr17:1-76554115	chr17
19 chr18:1-74774469	chr18
20 chr19:1-56733099	chr19
21 chr20:1-64035432	chr20
22 chr21:1-33232379	chr21
23 chr22:1-33698415	chr22
24 chrX:1-151576176	chrX
