ppn_present	pte_present	pts_present	ptt_present	ptv_present
False	False	False	True	False
False	False	False	True	False
False	False	False	True	True
True	True	True	True	False
True	False	False	False	False
True	False	False	False	False
True	False	False	False	False
False	False	True	True	False
False	False	True	False	False
True	True	True	False	False
False	False	True	True	False
False	False	True	True	False
False	True	True	False	False
False	True	False	False	True
True	True	False	True	False
False	False	False	True	False
False	False	False	True	False
False	True	False	True	False
False	True	True	False	True
False	False	True	True	False
False	True	True	True	True
False	False	False	True	False
False	True	False	False	False
False	True	True	True	False
False	True	True	False	False
False	True	True	True	False
True	False	False	True	False
True	False	False	True	True
False	False	True	True	False
False	False	False	False	True
False	False	False	True	False
False	False	False	True	False
False	True	False	False	False
False	False	False	True	False
False	True	False	True	False
False	False	False	True	False
False	False	False	True	False
False	False	False	True	True
True	False	True	True	False
False	False	True	False	False
False	False	True	False	False
False	True	True	True	False
False	False	False	True	False
True	True	True	True	True
False	False	False	False	True
False	False	False	True	False
False	True	False	True	True
True	False	False	False	True
True	True	True	True	True
False	False	True	False	False
False	False	True	False	False
True	False	True	True	False
False	False	False	True	False
False	False	False	True	False
False	False	False	True	False
True	True	True	True	False
False	False	True	True	False
True	True	False	False	False
False	True	False	True	False
False	True	False	True	False
True	False	False	False	False
True	False	False	False	False
False	False	True	False	False
False	False	True	True	False
True	False	False	False	True
False	True	True	True	True
False	True	True	False	False
False	True	True	False	False
True	False	False	False	False
False	False	False	True	True
True	False	False	False	False
False	False	True	True	True
False	True	True	True	True
True	False	True	True	False
True	False	True	True	False
True	False	True	False	False
True	False	True	False	False
True	True	True	True	True
True	False	True	True	False
True	False	False	False	False
True	True	True	True	True
True	True	True	False	False
False	True	True	True	True
False	True	True	True	False
False	True	True	True	False
False	False	True	True	True
False	False	True	True	False
False	False	True	True	False
False	True	True	True	False
False	True	True	True	False
True	True	False	True	True
True	False	False	True	False
False	False	True	True	False
False	True	False	False	False
False	False	False	True	False
False	False	False	True	False
False	True	True	True	False
True	True	False	True	False
True	False	False	True	False
True	True	False	True	False
False	True	False	False	False
True	False	False	False	False
True	False	False	False	False
False	False	True	True	False
False	False	True	False	False
False	True	True	True	True
False	True	False	True	False
False	True	False	True	False
True	False	False	True	False
False	True	True	True	True
False	False	False	True	False
False	False	True	True	False
False	False	True	True	False
False	False	True	True	False
True	False	False	True	False
True	False	False	True	False
False	True	False	True	True
False	False	True	False	False
True	False	False	False	False
True	False	False	False	False
False	True	True	True	False
False	True	False	False	False
False	True	False	False	False
False	False	True	True	False
False	False	False	True	True
True	False	False	True	False
False	True	True	True	False
False	False	True	True	False
False	True	True	True	False
True	True	True	True	False
False	True	True	True	True
False	True	True	True	False
