window	Akwaya-Jean	Alfred	Alice	Andromeda	Athanga	Berta	Bihati	Blanquita	Bono	Bosco	Brigitta	Bwamble	Cindy-schwein	Cindy-troglodytes	Cindy-verus	Cleo	Clint	Coco-chimp	Damian	Desmond	Doris	Dzeeta	Frederike	Gamin	Hermien	Hortense	Ikuru	Jimmie	Julie-A959	Julie-LWC21	Kidongo	Koby	Kombote	Kosana	Koto	Kumbuka	Lara	Linda	Luky	Marlin	Maya	Mgbadolite	Mirinda	Nakuu	Natalie	Negrita	SeppToni	Taweh	Tibe	Tongo	Trixie	Ula	Vaillant	Vincent	Washu	Yogui	node_0	node_1	node_2	node_3	n_clusters	n_single_clusters	cluster_composition	topology	genes
chr10_1572864	C3	C3	C3	C2	C2	C3	C3	C2	C1	C3	C3	C2	C2	C3	C3	C2	C3	C2	C3	C1	C2	C1	C3	C3	C1	C1	C3	C3	C3	C3	C2	C3	C1	C1	C3	C1	C2	C3	C3	C3	C2	C2	C2	C2	C1	C2	C3	C3	C3	C2	C2	C3	C3	C2	C2	C2	0.014521718947	0.091748346684	0.091748346684	0.067513806311	3	0	Bono Desmond Dzeeta Hermien Hortense Kombote Kosana Kumbuka Natalie/Andromeda Athanga Blanquita Bwamble Cindy-schwein Cleo Coco-chimp Doris Kidongo Lara Maya Mgbadolite Mirinda Nakuu Negrita Tongo Trixie Vincent Washu Yogui/Akwaya-Jean Alfred Alice Berta Bihati Bosco Brigitta Cindy-troglodytes Cindy-verus Clint Damian Frederike Gamin Ikuru Jimmie Julie-A959 Julie-LWC21 Koby Koto Linda Luky Marlin SeppToni Taweh Tibe Ula Vaillant	Three Cluster	ADARB2, LOC112204541, LOC736356
chr10_2621440	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C1	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	0.005674414727	0.012823512305	0.012823512305	0.0067370679499999	2	0	Cindy-troglodytes Doris Luky Marlin/Akwaya-Jean Alfred Alice Andromeda Athanga Berta Bihati Blanquita Bono Bosco Brigitta Bwamble Cindy-schwein Cindy-verus Cleo Clint Coco-chimp Damian Desmond Dzeeta Frederike Gamin Hermien Hortense Ikuru Jimmie Julie-A959 Julie-LWC21 Kidongo Koby Kombote Kosana Koto Kumbuka Lara Linda Maya Mgbadolite Mirinda Nakuu Natalie Negrita SeppToni Taweh Tibe Tongo Trixie Ula Vaillant Vincent Washu Yogui	Multiple Divergent Individuals	LOC107976892, PFKP, PITRM1
chr10_3145728	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	0.0029038232339999	0.0101448676659999	0.0101448676659999	0.0064180504419999	2	0	Alice Cindy-verus Luky/Akwaya-Jean Alfred Andromeda Athanga Berta Bihati Blanquita Bono Bosco Brigitta Bwamble Cindy-schwein Cindy-troglodytes Cleo Clint Coco-chimp Damian Desmond Doris Dzeeta Frederike Gamin Hermien Hortense Ikuru Jimmie Julie-A959 Julie-LWC21 Kidongo Koby Kombote Kosana Koto Kumbuka Lara Linda Marlin Maya Mgbadolite Mirinda Nakuu Natalie Negrita SeppToni Taweh Tibe Tongo Trixie Ula Vaillant Vincent Washu Yogui	Multiple Divergent Individuals	KLF6, LOC107976892, PFKP, PITRM1
chr10_3670016	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C1	C2	C2	C1	C1	C2	C2	C2	C2	C2	C2	C1	C1	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	0.0051397558939999	0.096247971085	0.096247971085	0.048080454528	2	0	Bono Desmond Dzeeta Hermien Hortense Kombote Kosana Kumbuka Natalie/Akwaya-Jean Alfred Alice Andromeda Athanga Berta Bihati Blanquita Bosco Brigitta Bwamble Cindy-schwein Cindy-troglodytes Cindy-verus Cleo Clint Coco-chimp Damian Doris Frederike Gamin Ikuru Jimmie Julie-A959 Julie-LWC21 Kidongo Koby Koto Lara Linda Luky Marlin Maya Mgbadolite Mirinda Nakuu Negrita SeppToni Taweh Tibe Tongo Trixie Ula Vaillant Vincent Washu Yogui	Bonobo-Chimpanzee Clustering	KLF6
chr10_4194304	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C1	C2	C2	C1	C1	C2	C2	C2	C2	C2	C2	C1	C1	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	0.001365140304	0.0123650702449999	0.0123650702449999	0.007214841472	2	0	Bono Desmond Dzeeta Hermien Hortense Kombote Kosana Kumbuka Natalie/Akwaya-Jean Alfred Alice Andromeda Athanga Berta Bihati Blanquita Bosco Brigitta Bwamble Cindy-schwein Cindy-troglodytes Cindy-verus Cleo Clint Coco-chimp Damian Doris Frederike Gamin Ikuru Jimmie Julie-A959 Julie-LWC21 Kidongo Koby Koto Lara Linda Luky Marlin Maya Mgbadolite Mirinda Nakuu Negrita SeppToni Taweh Tibe Tongo Trixie Ula Vaillant Vincent Washu Yogui	Bonobo-Chimpanzee Clustering	AKR1C2, AKR1C3, AKR1E2, LOC100607996
chr10_4718592	C2	C1	C2	C1	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C1	C1	C2	C1	C1	C1	C2	C2	C2	C1	C1	C2	C1	C1	C2	C1	C2	C2	C1	C2	C2	C2	C1	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	0.004758089328	0.0101579468019999	0.0101579468019999	0.0048467589509999	2	0	Alfred Andromeda Bono Coco-chimp Doris Dzeeta Gamin Hermien Hortense Julie-LWC21 Kidongo Kombote Kosana Kumbuka Luky Mirinda Natalie/Akwaya-Jean Alice Athanga Berta Bihati Blanquita Bosco Brigitta Bwamble Cindy-schwein Cindy-troglodytes Cindy-verus Cleo Clint Damian Desmond Frederike Ikuru Jimmie Julie-A959 Koby Koto Lara Linda Marlin Maya Mgbadolite Nakuu Negrita SeppToni Taweh Tibe Tongo Trixie Ula Vaillant Vincent Washu Yogui	Multiple Divergent Individuals	AKR1C2, AKR1C3, AKR1C4, AKR1E2, ASB13, CALML3, CALML5, LOC100607996, LOC100608090, LOC100612887, LOC746545, NET1, TUBAL3, UCN3
chr10_5242880	C3	C3	C3	C1	C3	C3	C3	C3	C2	C3	C1	C3	C3	C3	C3	C3	C3	C1	C3	C2	C3	C2	C1	C3	C2	C2	C3	C3	C3	C1	C3	C3	C2	C2	C3	C2	C1	C3	C3	C3	C1	C3	C1	C1	C2	C3	C3	C3	C3	C1	C3	C3	C3	C1	C3	C3	0.004665887943	0.0088989488659999	0.0088989488659999	0.007569194581	3	0	Bono Desmond Dzeeta Hermien Hortense Kombote Kosana Kumbuka Natalie/Andromeda Brigitta Coco-chimp Frederike Julie-LWC21 Lara Maya Mirinda Nakuu Tongo Vincent/Akwaya-Jean Alfred Alice Athanga Berta Bihati Blanquita Bosco Bwamble Cindy-schwein Cindy-troglodytes Cindy-verus Cleo Clint Damian Doris Gamin Ikuru Jimmie Julie-A959 Kidongo Koby Koto Linda Luky Marlin Mgbadolite Negrita SeppToni Taweh Tibe Trixie Ula Vaillant Washu Yogui	Three Cluster	AKR1C4, ANKRD16, ASB13, CALML3, CALML5, FAM208B, FBH1, GDI2, IL15RA, IL2RA, LOC100608090, LOC100612887, LOC107976903, LOC746545, NET1, PFKFB3, RBM17, TUBAL3, UCN3
chr10_5767168	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C1	C2	C2	C1	C1	C2	C2	C2	C2	C2	C2	C2	C1	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	0.000850478272	0.0389851279399999	0.0389851279399999	0.0192727115059999	2	0	Bono Desmond Dzeeta Hermien Hortense Kosana Kumbuka Natalie/Akwaya-Jean Alfred Alice Andromeda Athanga Berta Bihati Blanquita Bosco Brigitta Bwamble Cindy-schwein Cindy-troglodytes Cindy-verus Cleo Clint Coco-chimp Damian Doris Frederike Gamin Ikuru Jimmie Julie-A959 Julie-LWC21 Kidongo Koby Kombote Koto Lara Linda Luky Marlin Maya Mgbadolite Mirinda Nakuu Negrita SeppToni Taweh Tibe Tongo Trixie Ula Vaillant Vincent Washu Yogui	Multiple Divergent Individuals	ANKRD16, ASB13, FAM208B, FBH1, GDI2, IL15RA, IL2RA, LOC107976903, LOC107976906, PFKFB3, PRKCQ, RBM17
chr10_6291456	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C1	C2	C2	C1	C1	C2	C2	C2	C2	C2	C2	C2	C1	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	0.0021097687729999	0.0494272233779999	0.0494272233779999	0.024318788284	2	0	Bono Desmond Dzeeta Hermien Hortense Kosana Kumbuka Natalie/Akwaya-Jean Alfred Alice Andromeda Athanga Berta Bihati Blanquita Bosco Brigitta Bwamble Cindy-schwein Cindy-troglodytes Cindy-verus Cleo Clint Coco-chimp Damian Doris Frederike Gamin Ikuru Jimmie Julie-A959 Julie-LWC21 Kidongo Koby Kombote Koto Lara Linda Luky Marlin Maya Mgbadolite Mirinda Nakuu Negrita SeppToni Taweh Tibe Tongo Trixie Ula Vaillant Vincent Washu Yogui	Multiple Divergent Individuals	LOC107976906, PFKFB3, PRKCQ, SFMBT2
chr10_7864320	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C1	C2	C2	C1	C1	C2	C2	C2	C2	C2	C2	C1	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C1	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2	0.0015579402569999	0.0209980926699999	0.0209980926699999	0.0087252393379999	2	0	Bono Desmond Dzeeta Hermien Hortense Kombote Kumbuka Natalie/Akwaya-Jean Alfred Alice Andromeda Athanga Berta Bihati Blanquita Bosco Brigitta Bwamble Cindy-schwein Cindy-troglodytes Cindy-verus Cleo Clint Coco-chimp Damian Doris Frederike Gamin Ikuru Jimmie Julie-A959 Julie-LWC21 Kidongo Koby Kosana Koto Lara Linda Luky Marlin Maya Mgbadolite Mirinda Nakuu Negrita SeppToni Taweh Tibe Tongo Trixie Ula Vaillant Vincent Washu Yogui	Multiple Divergent Individuals	ATP5F1C, GATA3, ITIH2, KIN, LOC100610699, TAF3
