window_chr	window_start	window_end	gene_count
chr1	1048576	2097152	14
chr1	1572864	2621440	13
chr1	2097152	3145728	10
chr1	2621440	3670016	1
chr1	3145728	4194304	2
chr1	3670016	4718592	3
chr1	5242880	6291456	9
chr1	5767168	6815744	7
chr1	6291456	7340032	9
chr1	6815744	7864320	7
chr1	7340032	8388608	13
chr1	7864320	8912896	13
chr1	8388608	9437184	15
chr1	8912896	9961472	15
chr1	9437184	10485760	17
chr1	9961472	11010048	22
chr1	12058624	13107200	5
chr1	12582912	13631488	1
chr1	13107200	14155776	10
chr1	13631488	14680064	23
chr1	15204352	16252928	12
chr1	15728640	16777216	4
chr1	16252928	17301504	7
chr1	16777216	17825792	15
chr1	17301504	18350080	19
chr1	17825792	18874368	18
chr1	18350080	19398656	16
chr1	20447232	21495808	10
chr1	20971520	22020096	15
chr1	21495808	22544384	23
chr1	22020096	23068672	20
chr1	22544384	23592960	12
chr1	24117248	25165824	29
chr1	24641536	25690112	33
chr1	25165824	26214400	24
chr1	25690112	26738688	21
chr1	27262976	28311552	12
chr1	27787264	28835840	5
chr1	31457280	32505856	16
chr1	31981568	33030144	7
chr1	33554432	34603008	17
chr1	34078720	35127296	19
chr1	34603008	35651584	17
chr1	35127296	36175872	6
chr1	35651584	36700160	17
chr1	36175872	37224448	20
chr1	36700160	37748736	10
chr1	37224448	38273024	9
chr1	37748736	38797312	18
chr1	38273024	39321600	26
chr1	38797312	39845888	19
chr1	39321600	40370176	11
chr1	39845888	40894464	4
chr1	40370176	41418752	9
chr1	40894464	41943040	18
chr1	41418752	42467328	24
chr1	41943040	42991616	25
chr1	42467328	43515904	18
chr1	42991616	44040192	16
chr1	43515904	44564480	26
chr1	44040192	45088768	21
chr1	44564480	45613056	21
chr1	46137344	47185920	7
chr1	46661632	47710208	6
chr1	47185920	48234496	4
chr1	47710208	48758784	1
chr1	48234496	49283072	4
chr1	48758784	49807360	5
chr1	49283072	50331648	6
chr1	49807360	50855936	10
chr1	50331648	51380224	11
chr1	50855936	51904512	15
chr1	51380224	52428800	15
chr1	51904512	52953088	18
chr1	52428800	53477376	18
chr1	52953088	54001664	16
chr1	53477376	54525952	10
chr1	54001664	55050240	1
chr1	54525952	55574528	4
chr1	55050240	56098816	7
chr1	55574528	56623104	4
chr1	56098816	57147392	3
chr1	56623104	57671680	7
chr1	57147392	58195968	6
chr1	57671680	58720256	4
chr1	58195968	59244544	4
chr1	58720256	59768832	2
chr1	59244544	60293120	1
chr1	59768832	60817408	4
chr1	60293120	61341696	7
chr1	60817408	61865984	7
chr1	61341696	62390272	7
chr1	61865984	62914560	6
chr1	62390272	63438848	4
chr1	62914560	63963136	6
chr1	63438848	64487424	7
chr1	63963136	65011712	5
chr1	64487424	65536000	2
chr1	65011712	66060288	9
chr1	65536000	66584576	12
chr1	66060288	67108864	7
chr1	66584576	67633152	5
chr1	67108864	68157440	2
chr1	67633152	68681728	1
chr1	68157440	69206016	5
chr1	68681728	69730304	7
chr1	69206016	70254592	4
chr1	69730304	70778880	3
chr1	71303168	72351744	0
chr1	71827456	72876032	0
chr1	72351744	73400320	3
chr1	72876032	73924608	7
chr1	73400320	74448896	7
chr1	73924608	74973184	6
chr1	74448896	75497472	6
