window_chr	window_start	window_end	gene_count
chr1	126353408	127401984	28
chr1	153092096	154140672	7
chr1	153616384	154664960	10
chr1	173015040	174063616	5
chr10	78643200	79691776	1
chr10	87556096	88604672	8
chr11	22544384	23592960	3
chr11	77070336	78118912	0
chr11	77594624	78643200	2
chr12	37748736	38797312	17
chr12	44040192	45088768	3
chr13	3145728	4194304	0
chr13	44564480	45613056	2
chr13	45088768	46137344	0
chr13	45613056	46661632	0
chr13	47185920	48234496	1
chr13	52428800	53477376	2
chr13	70778880	71827456	0
chr14	32505856	33554432	10
chr14	45088768	46137344	14
chr14	45613056	46661632	8
chr14	75497472	76546048	13
chr15	9437184	10485760	4
chr15	44040192	45088768	12
chr15	69730304	70778880	2
chr16	49283072	50331648	1
chr18	19922944	20971520	7
chr18	61865984	62914560	2
chr19	25690112	26738688	2
chr19	26214400	27262976	1
chr19	51380224	52428800	36
chr20	59768832	60817408	0
chr21	19922944	20971520	13
chr21	20447232	21495808	12
chr2A	74973184	76021760	6
chr2A	82837504	83886080	0
chr2A	83361792	84410368	0
chr2B	42991616	44040192	5
chr2B	70254592	71303168	2
chr2B	116916224	117964800	14
chr2B	119013376	120061952	19
chr3	7340032	8388608	1
chr3	20971520	22020096	2
chr3	60293120	61341696	1
chr3	85458944	86507520	2
chr3	90177536	91226112	1
chr3	92798976	93847552	0
chr3	93323264	94371840	0
chr3	103809024	104857600	1
chr3	104333312	105381888	1
chr3	122683392	123731968	9
chr3	137887744	138936320	2
chr3	144179200	145227776	6
chr3	144703488	145752064	2
chr4	32505856	33554432	0
chr4	61865984	62914560	0
chr4	62390272	63438848	1
chr4	62914560	63963136	1
chr4	89653248	90701824	1
chr4	113770496	114819072	1
chr4	122683392	123731968	1
chr4	133693440	134742016	0
chr5	16252928	17301504	4
chr5	35127296	36175872	8
chr6	63438848	64487424	0
chr6	63963136	65011712	0
chr6	114294784	115343360	7
chr6	144703488	145752064	3
chr6	153092096	154140672	0
chr6	159383552	160432128	3
chr7	14680064	15728640	3
chr7	15204352	16252928	4
chr7	24117248	25165824	4
chr7	83886080	84934656	8
chr7	84410368	85458944	2
chr8	5767168	6815744	5
chr8	34603008	35651584	1
chr8	113770496	114819072	2
chr9	62914560	63963136	5
chr9	88080384	89128960	3
chr9	100139008	101187584	35
chr9	104857600	105906176	29
chrX	15204352	16252928	14
chrX	31457280	32505856	1
chrX	99614720	100663296	3
chrX	108527616	109576192	0
chrX	109051904	110100480	1
chrX	120586240	121634816	1
chrX	121110528	122159104	3
