window	bp_overlap	prop	maximum
chr10_78643200	4816	0.0045928955078125	0.052344914523
chr10_87556096	34393	0.032799720764160156	0.0407171596609999
chr11_22544384	484	0.000461578369140625	0.0501797977219999
chr11_77070336	6701	0.006390571594238281	0.057038709028
chr11_77594624	12147	0.011584281921386719	0.1220285812429999
chr12_37748736	25173	0.02400684356689453	0.0628778236779999
chr12_44040192	13852	0.013210296630859375	0.154493234202
chr13_3145728	11097	0.010582923889160156	0.084500909499
chr13_44564480	6861	0.006543159484863281	0.024328879483
chr13_45088768	10326	0.009847640991210938	0.082522313512
chr13_45613056	11622	0.011083602905273438	0.423670119523
chr13_47185920	36093	0.03442096710205078	0.106705788438
chr13_52428800	89429	0.08528614044189453	0.2481034504879999
chr13_70778880	6184	0.00589752197265625	0.508270866026
chr14_32505856	12232	0.01166534423828125	0.036500106313
chr14_45088768	23295	0.022215843200683594	0.0376951978809999
chr14_45613056	14160	0.0135040283203125	0.0345644182419999
chr14_75497472	18357	0.01750659942626953	0.043975063554
chr15_44040192	35613	0.03396320343017578	0.1495786181449999
chr15_69730304	9186	0.008760452270507812	0.029037388129
chr15_9437184	13934	0.013288497924804688	0.034910446955
chr16_49283072	24391	0.023261070251464844	0.328363810497
chr18_19922944	31879	0.030402183532714844	0.0304326776559999
chr18_61865984	3202	0.0030536651611328125	0.114859409126
chr19_25690112	1236	0.001178741455078125	0.086657831352
chr19_26214400	2869	0.0027360916137695312	0.086493768641
chr19_51380224	72334	0.06898307800292969	0.1031067548449999
chr1_126353408	15355	0.014643669128417969	0.063014771671
chr1_153092096	19369	0.018471717834472656	0.0289714014859999
chr1_153616384	13156	0.012546539306640625	0.0322845911839999
chr1_173015040	26842	0.025598526000976562	0.0770426613489999
chr20_59768832	8158	0.0077800750732421875	0.1102359676099999
chr21_19922944	35813	0.03415393829345703	0.0245140598009999
chr21_20447232	20621	0.01966571807861328	0.028110884046
chr2A_74973184	9133	0.008709907531738281	0.0510747426069999
chr2A_82837504	1488	0.0014190673828125	0.2492084154279999
chr2A_83361792	4702	0.0044841766357421875	0.187441845358
chr2B_116916224	12395	0.011820793151855469	0.0554300154019999
chr2B_119013376	19643	0.01873302459716797	0.046350733131
chr2B_42991616	54387	0.05186748504638672	0.02083008595
chr2B_70254592	7895	0.007529258728027344	0.0647622786429999
chr3_103809024	8751	0.008345603942871094	0.0298526572699999
chr3_104333312	7259	0.006922721862792969	0.1630836325279999
chr3_122683392	27933	0.02663898468017578	0.0209237993469999
chr3_137887744	16408	0.01564788818359375	0.134816504486
chr3_144179200	17739	0.01691722869873047	0.0471573611569999
chr3_144703488	50137	0.047814369201660156	0.112863588558
chr3_20971520	13882	0.013238906860351562	0.1669505518799999
chr3_60293120	23521	0.022431373596191406	0.184919985594
chr3_7340032	7554	0.0072040557861328125	0.0353939295849999
chr3_85458944	27524	0.026248931884765625	0.235186199714
chr3_90177536	7196	0.006862640380859375	0.0201964979
chr3_92798976	3233	0.0030832290649414062	0.1503420226749999
chr3_93323264	2982	0.0028438568115234375	0.0554975575549999
chr4_113770496	391	0.00037288665771484375	0.1237839020509999
chr4_122683392	17890	0.017061233520507812	0.084117754489
chr4_133693440	11059	0.010546684265136719	0.2476129610249999
chr4_32505856	8425	0.008034706115722656	0.169588465623
chr4_61865984	12680	0.01209259033203125	0.1031515522949999
chr4_62390272	9442	0.009004592895507812	0.358441386751
chr4_62914560	13688	0.01305389404296875	0.203689145402
chr4_89653248	7969	0.007599830627441406	0.103253198746
chr5_16252928	7864	0.00749969482421875	0.03670547712
chr5_35127296	18128	0.0172882080078125	0.122298304202
chr6_114294784	20451	0.01950359344482422	0.0553555552629999
chr6_144703488	23536	0.0224456787109375	0.049992743023
chr6_153092096	32527	0.031020164489746094	0.077066030461
chr6_159383552	12429	0.011853218078613281	0.137722637494
chr6_63438848	4080	0.0038909912109375	0.097086619577
chr6_63963136	2854	0.0027217864990234375	0.189955693494
chr7_14680064	19522	0.018617630004882812	0.1139170185029999
chr7_15204352	33492	0.031940460205078125	0.096861630127
chr7_24117248	11791	0.011244773864746094	0.1292258706429999
chr7_83886080	17038	0.016248703002929688	0.0699732955899999
chr7_84410368	8802	0.008394241333007812	0.2470019069819999
chr8_113770496	39926	0.03807640075683594	0.1591102538409999
chr8_34603008	17926	0.017095565795898438	0.4681513591039999
chr8_5767168	3917	0.0037355422973632812	0.1424157495219999
chr9_100139008	35293	0.03365802764892578	0.03955693082
chr9_104857600	19758	0.018842697143554688	0.0360507481859999
chr9_62914560	3716	0.003543853759765625	0.0355948429419999
chr9_88080384	31720	0.03025054931640625	0.052011827629
chrX_108527616	2595	0.0024747848510742188	0.378797006056
chrX_109051904	4762	0.0045413970947265625	0.0480411684289999
chrX_120586240	5952	0.00567626953125	0.475589935161
chrX_121110528	7753	0.007393836975097656	0.3860867614909999
chrX_15204352	20010	0.019083023071289062	0.093661257303
chrX_31457280	32447	0.030943870544433594	0.121001243072
chrX_99614720	19024	0.0181427001953125	0.027076678231
